ID,DESCRIP
0,HOSTAL
1,"CASA DE HUESPEDES, ALBERGUE Y/O PENSION"
2,HOTEL DE HASTA 3 ESTRELLAS
3,HOSPEDAJE
4,HOTEL DE 4 A 5 ESTRELLAS
5,HOSTAL DE 3 ESTRELLAS
