ID,DESCRIP
1,ENSE„ANZA PRE-ESCOLAR Y/O NIDOS
2,ENSE„ANZA PRIMARIA Y/O SECUNDARIA
3,COLEGIO PROFESIONAL
4,ACADEMIA DE ENSE??ANZA VARIADOS
5,SERVICIOS EDUCATIVOS
6,UNIVERSIDAD
7,ACADEMIA DE AVIACION COMERCIAL
8,INSTITUTO DEL VINO (UNIVERSIDAD)
9,ENSE„ANZA PRIMARIA Y/O SECUNDARIA NO ESCOLARIZADO
10,INSTITUTO SUPERIOR TECNOLOGICO
11,INSTITUTO CULTURAL
12,CENTRO DE IDIOMAS
