ID,DESCRIP
0,RESTAURANT
1,RESTAURANT CON VENTA DE LICOR
2,"CAFETERÍA, SALON DE TÉ  Y/O FUENTE DE SODA"
3,CHIFA CON VENTA DE LICOR COMO COMPLEMENTO
4,"CAFETERIA CON VENTA DE LICOR, SNACK BAR"
5,RESTAURANT CON ESPECTACULOS EN VIVO
6,POLLERÍA
7,PIZZERIA
8,CHIFA
,
